Country,2010,2011,2012,2013,2014,2015,2016
Austria,172,170,173,194,198,214,235
Belgium,135,123,150,160,168,199,224
Bulgaria,8,13,13,13,16,18,17
Croatia,7,7,6,6,6,6,6
Cyprus,2,2,2,2,4,4,3
Czech Republic,151,191,213,308,338,390,398
Denmark,150,150,150,150,150,150,160
Estonia,6,6,7,10,15,20,33
Finland,25,25,30,43,49,59,82
France,387,442,503,580,663,793,950
Germany,1333,1347,1340,1349,1352,1388,1408
Greece,11,17,18,20,20,28,43
Hungary,0,24,50,50,50,50,50
Ireland,26,26,26,30,50,50,50
Italy,308,350,421,509,599,688,757
Latvia,15,16,16,25,29,37,41
Lithuania,41,73,73,73,75,75,72
Luxenbourg,7,7,7,7,7,7,7
Malta,1,1,1,1,1,2,2
Netherlands,0,125,165,0,263,320,400
Poland,103,117,132,155,133,150,210
Portugal,7,7,9,18,22,30,34
Romania,18,17,17,18,22,30,34
Slovakia,19,25,30,38,44,60,70
Slovenia,22,22,22,30,51,55,62
Spain,65,88,132,221,332,427,483
Sweeden,39,54,75,105,154,219,283
United Kingdom,828,948,1300,1490,1700,1880,2250
Norway,30,34,41,52,75,101,128
Switzerland,328,360,375,409,483,623,753
Turkey,11,11,11,12,9,12,10
