year,country,active-breweries,volume
2010,Austria,172,8878
2011,Austria,170,9105
2012,Austria,173,9110
2013,Austria,194,9005
2014,Austria,198,8885
2015,Austria,214,8977
2016,Austria,235,9030
2010,Belgium,135,8439
2011,Belgium,123,8574
2012,Belgium,150,8228
2013,Belgium,160,8092
2014,Belgium,168,8095
2015,Belgium,199,7951
2016,Belgium,224,7689
2010,Bulgaria,8,4891
2011,Bulgaria,13,5100
2012,Bulgaria,13,5404
2013,Bulgaria,13,5462
2014,Bulgaria,16,5230
2015,Bulgaria,18,5300
2016,Bulgaria,17,5500
2010,Croatia,7,3321
2011,Croatia,7,3547
2012,Croatia,6,3411
2013,Croatia,6,3286
2014,Croatia,6,3414
2015,Croatia,6,3322
2016,Croatia,6,3225
2010,Cyprus,2,519
2011,Cyprus,2,456
2012,Cyprus,2,471
2013,Cyprus,2,480
2014,Cyprus,4,425
2015,Cyprus,4,457
2016,Cyprus,3,468
2010,Czech-Republic,151,15570
2011,Czech-Republic,191,15503
2012,Czech-Republic,213,15960
2013,Czech-Republic,308,15798
2014,Czech-Republic,338,15768
2015,Czech-Republic,390,15703
2016,Czech-Republic,398,15875
2010,Denmark,150,3586
2011,Denmark,150,3654
2012,Denmark,150,3437
2013,Denmark,150,3530
2014,Denmark,150,3650
2015,Denmark,150,3430
2016,Denmark,160,3580
2010,Estonia,6,1063
2011,Estonia,6,1020
2012,Estonia,7,1010
2013,Estonia,10,1020
2014,Estonia,15,931
2015,Estonia,20,900
2016,Estonia,33,888
2010,Finland,25,4443
2011,Finland,25,4551
2012,Finland,30,4286
2013,Finland,43,4337
2014,Finland,49,4244
2015,Finland,59,4209
2016,Finland,82,4208
2010,France,387,19730
2011,France,442,20000
2012,France,503,19941
2013,France,580,19421
2014,France,663,19956
2015,France,793,20600
2016,France,950,21290
2010,Germany,1333,87872
2011,Germany,1347,87655
2012,Germany,1340,86279
2013,Germany,1349,85888
2014,Germany,1352,86512
2015,Germany,1388,86018
2016,Germany,1408,85532
2010,Greece,11,4092
2011,Greece,17,4092
2012,Greece,18,3945
2013,Greece,20,3916
2014,Greece,20,3845
2015,Greece,28,3825
2016,Greece,43,3882
2010,Hungary,0,6100
2011,Hungary,24,6249
2012,Hungary,50,5958
2013,Hungary,50,5704
2014,Hungary,50,5793
2015,Hungary,50,6541
2016,Hungary,50,6704
2010,Ireland,26,4814
2011,Ireland,26,4721
2012,Ireland,26,4677
2013,Ireland,30,4328
2014,Ireland,50,4481
2015,Ireland,50,4414
2016,Ireland,50,4576
2010,Italy,308,17249
2011,Italy,350,17715
2012,Italy,421,17458
2013,Italy,509,17544
2014,Italy,599,17755
2015,Italy,688,18914
2016,Italy,757,18873
2010,Latvia,15,1492
2011,Latvia,16,1626
2012,Latvia,16,1543
2013,Latvia,25,1545
2014,Latvia,29,1555
2015,Latvia,37,1523
2016,Latvia,41,1510
2010,Lithuania,41,2925
2011,Lithuania,73,2932
2012,Lithuania,73,2830
2013,Lithuania,73,2760
2014,Lithuania,75,2784
2015,Lithuania,75,2680
2016,Lithuania,72,2532
2010,Luxenbourg,7,317
2011,Luxenbourg,7,325
2012,Luxenbourg,7,319
2013,Luxenbourg,7,316
2014,Luxenbourg,7,308
2015,Luxenbourg,7,300
2016,Luxenbourg,7,312
2010,Malta,1,196
2011,Malta,1,189
2012,Malta,1,199
2013,Malta,1,202
2014,Malta,1,211
2015,Malta,2,218
2016,Malta,2,231
2010,Netherlands,0,11956
2011,Netherlands,125,11974
2012,Netherlands,165,12122
2013,Netherlands,165,11721
2014,Netherlands,263,11326
2015,Netherlands,320,11696
2016,Netherlands,400,11862
2010,Poland,103,34484
2011,Poland,117,36236
2012,Poland,132,37803
2013,Poland,155,37388
2014,Poland,133,37644
2015,Poland,150,37706
2016,Poland,210,37903
2010,Portugal,7,5900
2011,Portugal,7,5320
2012,Portugal,9,4927
2013,Portugal,18,4937
2014,Portugal,22,4764
2015,Portugal,30,4741
2016,Portugal,34,4891
2010,Romania,18,17000
2011,Romania,17,17000
2012,Romania,17,18201
2013,Romania,18,16300
2014,Romania,22,14900
2015,Romania,30,15800
2016,Romania,34,15800
2010,Slovakia,19,3609
2011,Slovakia,25,3997
2012,Slovakia,30,4141
2013,Slovakia,38,3874
2014,Slovakia,44,3720
2015,Slovakia,60,3959
2016,Slovakia,70,3970
2010,Slovenia,22,1663
2011,Slovenia,22,1672
2012,Slovenia,22,1520
2013,Slovenia,30,1562
2014,Slovenia,51,1615
2015,Slovenia,55,1583
2016,Slovenia,62,1635
2010,Spain,65,35199
2011,Spain,88,35233
2012,Spain,132,35106
2013,Spain,221,35212
2014,Spain,332,36302
2015,Spain,427,37528
2016,Spain,483,38634
2010,Sweeden,39,4720
2011,Sweeden,54,4796
2012,Sweeden,75,4660
2013,Sweeden,105,4713
2014,Sweeden,154,4636
2015,Sweeden,219,4620
2016,Sweeden,283,4781
2010,United-Kingdom,828,45873
2011,United-Kingdom,948,44844
2012,United-Kingdom,1300,42962
2013,United-Kingdom,1490,42422
2014,United-Kingdom,1700,43752
2015,United-Kingdom,1880,43762
2016,United-Kingdom,2250,43731
2010,Norway,30,2559
2011,Norway,34,2534
2012,Norway,41,2421
2013,Norway,52,2450
2014,Norway,75,2415
2015,Norway,101,2404
2016,Norway,128,2494
2010,Switzerland,328,4526
2011,Switzerland,360,4626
2012,Switzerland,375,4623
2013,Switzerland,409,4595
2014,Switzerland,483,4657
2015,Switzerland,623,4624
2016,Switzerland,753,4605
2010,Turkey,11,9215
2011,Turkey,11,9149
2012,Turkey,11,9988
2013,Turkey,12,9047
2014,Turkey,9,9680
2015,Turkey,12,9082
2016,Turkey,10,9003
