Country,2010,2011,2012,2013,2014,2015,2016
Austria,8878,9105,9110,9005,8885,8977,9030
Belgium,8439,8574,8228,8092,8095,7951,7689
Bulgaria,4891,5100,5404,5462,5230,5300,5500
Croatia,3321,3547,3411,3286,3414,3322,3225
Cyprus,519,456,471,480,425,457,468
Czech Republic,15570,15503,15960,15798,15768,15703,15875
Denmark,3586,3654,3437,3530,3650,3430,3580
Estonia,1063,1020,1010,1020,931,900,888
Finland,4443,4551,4286,4337,4244,4209,4208
France,19730,20000,19941,19421,19956,20600,21290
Germany,87872,87655,86279,85888,86512,86018,85532
Greece,87872,87655,86279,85888,86512,86018,85532
Hungary,6100,6249,5958,5704,5793,6541,6704
Ireland,4814,4721,4677,4328,4481,4414,4576
Italy,17249,17715,17458,17544,17755,18914,18873
Latvia,1492,1626,1543,1545,1555,1523,1510
Lithuania,2925,2932,2830,2760,2784,2680,2532
Luxenbourg,317,325,319,316,308,300,312
Malta,196,189,199,202,211,218,231
Netherlands,11956,11974,12122,11721,11326,11696,11862
Poland,34484,36236,37803,37388,37644,37706,37903
Portugal,5900,5320,4927,4937,4764,4741,4891
Romania,17000,17000,18201,16300,14900,15800,15800
Slovakia,3609,3997,4141,3874,3720,3959,3970
Slovenia,1663,1672,1520,1562,1615,1583,1635
Spain,35199,35233,35106,35212,36302,37528,38634
Sweeden,4720,4796,4660,4713,4636,4620,4781
United Kingdom,45873,44844,42962,42422,43752,43762,43731
Norway,2559,2534,2421,2450,2415,2404,2494
Switzerland,4526,4626,4623,4595,4657,4624,4605
Turkey,9215,9149,9988,9047,9680,9082,9003
