brewery,beer-name,brewery-location,pints-bottles-sold,beer-type
Abbeydale,Moonshine,Yorkshire,1297,cask
Acorn ,Barnsley-Bitter,Yorkshire,1598.5,cask
Adnams,Longboat,Suffolk,139,cask
Adnams,Lighthouse,Suffolk,274.5,cask
Adnams,Two-Bays,Suffolk,254,cask
Adnams,Fat-Sprat,Suffolk,271.5,cask
Adnams,Ghost-Ship,Suffolk,629,cask
American,PA,unkown,142,cask
Fyne,Avalanche,Scotland,274,cask
Bays,Bays-Gold,Devon,509,cask
Black_Sheep,Best-Bitter,Yorkshire,576.5,cask
Great-Yorkshire-Brewery,Blackout,Yorkshire,415,cask
Brains,Caf�-Pheonix,Wales,470.5,cask
Purity,Bunny-Hop,Midlands,405.5,cask
Great-Heck,Christopher,Yorkshire,277,cask
BAD-Co,Confortably-Numb,Yorkshire,275,cask
Sharps,Cornish-Coaster,Cornwall,278,cask
Cotleigh,Tawny,Somerset,220.5,cask
Dark-Star,Hop-Head,Sussex,266.5,cask
Robinsons,Dark-Vader,Lancashire,553.5,cask
BAD-Co,Dazed-And-Confused,Yorkshire,274.5,cask
Everards,Sly-Fox,Leicestershire,341.5,cask
Exmoor,Gold,Somerset,277.5,cask
Vocation,Fire-and -Water,Yorkshire,1015.5,cask
Black-Wolf-Brewery,Florida-Black,Scotland,868,cask
Fullers,London-Pride,London,551.5,cask
Greene-King,Mighty-Mosser,Suffolk,345.5,cask
Rudgate,Going-For -Gold,Yorkshire,341.5,cask
West-Berkshire,Good-Old-Boys,Berkshire,276.5,cask
Great-Heck,Dave,Yorkshire,556,cask
Great-Heck,Mercy,Yorkshire,207.5,cask
Ilkley,Hanging-Stone,Yorkshire,404.5,cask
Harviestoun,Summer-Legend,Scotland,12,cask
Great-Heck,Shankar-IPA,Yorkshire,271.5,cask
Wychwood,Hobgoblin,Oxfordshire,1560.5,cask
Hook-Norton,Hooky,Yorkshire,37.5,cask
Hop-Back,Summer-Lightning,Yorkshire,391.5,cask
By-The-Horns,Hop-Air-Balloon,London,273.5,cask
Two-Bird,Hop-Harvest,Yorkshire,277,cask
Broughton,Hopoptamus,Scotland,130.5,cask
Youngs,Humming-Bird,London,404,cask
Ilkley,Mary-Jane,Yorkshire,411.5,cask
Dogfish-Head,India-Brown,USA,127,cask
Fyne,Jarl,Scotland,403.5,cask
Kirkstall,Pale,Yorkshire,1323,cask
Peerless,Knee-Buckler-IPA,Yorkshire,414.5,cask
Kirkstall,Black-Abbey,Yorkshire,279,cask
Leeds,Leeds-Pale,Yorkshire,8707.5,cask
Roosters,Little-Bird,Yorkshire,138.5,cask
Purity,Mad-Goose,Midlands,279,cask
Great-Yorkshire-Brewery,Absolutely-Madness,Yorkshire,273.5,cask
Magic-Rock,Herbal,Yorkshire,407,cask
Hop-Stuff,Mjango-Unchained,London,275.5,cask
Moles,Mole-Catcher,Gloucestershire,133,cask
Great-Yorkshire-Brewery,Moon-Stone,Yorkshire,273.5,cask
Knops,Musselburgh,Scotland,125.5,cask
St-Austell,Nicholson-5,Cornwall,127.5,cask
St-Austell,NPA,Cornwall,19067.5,cask
Oakham,Oakham-Citra,Yorkshire,265,cask
Oakham,JHB,Yorkshire,269.5,cask
Morland,Old-Golden_hen,Oxfordshire,564,cask
Reunion,Opening-Gambit,London,66.5,cask
Orkney,Dark-Island,Scotland,276,cask
Cotleigh,Osprey,Somerset,283,cask
Portobello,Chocolate-Stout,London,281,cask
Purity,UBU,Midlands,630.5,cask
Purity,ERA,Midlands,121,cask
Unkown,Unknown,unkown,207.5,cask
Fullers,Red-Fox,London,141,cask
Roosters,Yankee,Yorkshire,1014,cask
Rudgate,Ruby-Mild,Yorkshire,3317,cask
Ilkley,Ruby-Jane,Yorkshire,824.5,cask
Rudgate,Ettas-Ale,Yorkshire,407,cask
Black-Sheep,Rye-Mild,Yorkshire,133.5,cask
London-brewing-co,Rye-The-Hell-Not,London,143,cask
Salopian,Shropshire-Gold,Shropshire,275.5,cask
Saltaire,Saltaire-Blondw,Yorkshire,335.5,cask
Oakham,Scarlet-Macaw,Yorkshire,336.5,cask
